abbrev,name
CFP,College Football Playoff
CFP,College Football Poll
CFP,College for Financial Planning
CFP,College Football Playoff College Football Playoff
CFPA,College Football Performance Awards
CFPC,College of Family Physicians Canada
CFPS,College of Family
CFPS,College of Family Physicians Singapore
CFRC,College Football Research Center
CFT,College Football Talk
CFWT,College of Forestry Wildlife and Tourism
CGA,College Gymnastics Association
CGAC,Chikkanna Government Arts College
CGCA,College Gardens Civic Association
CGCC,Chandler Gilbert Community College
CGCC,Columbia Gorge Community College
CGCC,Columbia Greene Community College
CGCC,Chandler-Gilbert Community College
CGCC,Coastal Georgia Community College
CGCC,Columbia-Greene Community College
CGCE,College of Graduate Continuing Education
CGCE,College of Graduate and Continuing Education
CGF,College Golf Fellowship
CGHC,Chinese General Hospital Colleges
CGHC,Chong Gene Hang College
CGHS,College of Graduate Health Sciences
CGHS,College of Graduate Health Studies
CGL,College Gaming League
CGM,College Going Minorities
CGMD,College Geschillen Medezeggenschap Defensie
CGOC,CIMS Group of Colleges
CGPP,College of Governance and Public Policy
CGRC,Cultural and Global Residential College
CGS,College of General Studies
CGSC,Command General Staff College
CGSC,Command and General Staff College
CGSE,College and Graduate School of Education
CGW,College Goal Washington
CHAC,Cannon Hill Anglican College
CHAC,California Healing Arts College
CHAF,College Hill Arts Festival
CHAFL,College Housing and Academic Facilities Loans
CHAMP,College Headed And Mighty Proud
CHASS,College of Humanities And Social Sciences
CHASS,College of Humanities Arts and Social Sciences
CHASS,College of Humanities Arts Social Sciences
CHBS,College of Humanities and Behavioral Sciences
CHBS,College of Health and Behavioral Studies
CHBS,College of Health and Behavioral Sciences
CHC,Crafton Hills College
CHC,Christian Heritage College
CHC,Chestnut Hill College
CHC,Chestnut Hill College's
CHC,Calvert Hall College
CHCP,College of Health Care Professions
CHDR,College of Higher Degrees and Research
CHE,College of Human Ecology
CHE,College of Home Economics
CHEERS,College Of Human Ecology Educational Resources Site
CHES,College of
CHHD,College of Health and Human Development
CHHS,College of Health and Human Services
CHHS,College of Health and Human Sciences
CHHS,College of Health Human Services
CHM,College of Human Medicine
CHM,College of Human Ecology
CHMA,College Hockey Mid-America
CHN,College Hockey News
CHP,College of Health Professions
CHPA,College of Humanities and Public Affairs
CHRF,College House Research Fellow
CHRM,College of Human Resource Management
CHRP,College of Health Related Professions
CHS,College Health Service
CHSA,College In High School Alliance
CHSC,Coffs Harbour Senior College
CHSG,Carshalton Highschool for Girls
CHSM,College of the Holy Spirit Manila
CHSP,College of Health Sciences and Professions
CHSS,College of Humanities and Social Sciences
CHSS,College of Health and Social Services
CHSS,College of Humanities and Social Science
CHSS,College of Health Social Sciences
CHSS,College of Health and Social Sciences
CHST,College of Health Sciences and Technology
CHST,College of Health Science and Technology
CHT,College Hill Tavern
CHT,College of Health Technology
CHTS,College for Higher Tibetan Studies
CHUCK,Committee to Halt Useless College Killings
CIB,College Information Book
CIC,Council of Independent Colleges
CICE,Church of Ireland College of Education
CICM,College of Intensive Care Medicine
CICT,Critical Incidents in College Teaching
CICU,Commission on Independent Colleges and Universities
CICV,Council of Independent Colleges in Virginia
CIES,College of International and Extended Studies
CIFM,College Of Insurance and Financial Management
CIHD,College Integrated Healing Diploma
CIHS,College in the High School
CIIF,College Industry Innovation Fund
CIIS,College of Innovation and Industry Skills
CIME,College of IT Management Education
CIME,College of IT and Management Education
CIMS,College of Information and Mathematical Sciences
CIMS,College of Information Mathematical Sciences
CINEC,Colombo International Nautical and Engineering College
CINEC,Columbo Int Nautical Eng College
CINEC,Columbo International Nautical Engineering College
CINEC,Columbo International Nautical and Engineering College
CIP,College Is Power
CIP,Campus Involvement Project
CIP,College Internship Program
CIP,College Insurance Program
CIPC,Canterbury International Pathway College
CIS,College in the Schools
CISA,College of International Security Affairs
CISE,College of Integrated Science and Engineering
CISE,College of Integrated
CISO,College and Institute Student Outcomes
CIT,College of Information Technology
CITC,Centred In A Theological College
CITL,College of International Transport and Logistics
CITO,College Information Technology Office
CITS,College In the Schools
CIW,College In the Woods
CJC,Catholic Junior College
CJCC,Carolinas Junior College Conference
CJCSC,Caribbean Junior Command and Staff College
CJCT,Committee for Joint College Training
CJE,Collège Jean Eudes
CKCCF,Christ the King College of Cavite Foundation
CKSC,Chiang Kai Shek College
CKSC,Chiang Kai-Shek College
CKTC,Central Kentucky Technical College
CKYC,Choi Kai Yau College
CLA,College Language Association
CLA,College of Liberal Arts
CLAC,Consortium of Liberal Arts Colleges
CLAIM,College of Liberal Arts Inspiring Minds
CLAMS,College Librarians and Media Specialists
CLAS,College of Liberal Arts and Sciences
CLASP,Colleges of Liberal Arts Sponsored Programs
CLASS,College of Liberal Arts and Social Sciences
CLAST,College Level Academic Skills Test
CLAST,College Level Academic Skills Testing
CLAST,College of Liberal Arts Sciences and Technologies
CLC,College of Lake County
CLC,Central Lakes College
CLCB,Central Lakes College Brainerd
CLE,College Living Experience
CLEP,College Level Examination Program
CLEP,College Level Exam Program
CLET,College for Law Education and Training
CLIMB,College Of Leadership Innovation Management And Beliefs
CLIS,College of Library and Information Services
CLOC,College Light Opera Company
CLPC,College Level Personnel Committee
CLPN,College of Licensed Practical Nurses
CLRI,College Leadership Rhode Island
CLRP,College Loan Repayment Program
CLS,College of Liberal Studies
CLTC,Christian Leaders Training College
CLUE,College Life Unit of Experience
CLUE,College Level Unified Environment
CMAB,College of Medicine Administration Building
CMAC,College of Media And Communication
CMBC,Conservatory of Music of Brooklyn College
CMBC,Canadian Mennonite Bible College
CMC,Claremont McKenna College
CMC,Clairvaux MacKillop College
CMC,Christian Medical College
CMC,Colorado Mountain College
CMC,Clackamas Middle College
CMC,Copper Mountain College
CMCC,Canadian Memorial Chiropractic College
CMCC,Central Maine Community College
CMCCC,California Mathematics Council Community Colleges
CMCH,Chittagong Medical College and Hospital
CMCH,Coimbatore Medical College Hospital
CME,College of Military Engineering
CMGA,College Mixte Gaetan Amedee
CMHS,College of Management and Human Service
CMMU,College of Management Mahidol University
CMN,College of Menominee Nation
CMN,College of the Muscogee Nation
CMNL,College of Midwives of Newfoundland and Labrador
CMP,College Motivation Print
CMPE,College of Medical Practice Executives
CMQ,Collège des médecins du Québec
CMQM,Collège de Massothérapie du Québec à Montréal
CMQM,Collège Massothérapie du Québec à Montréal
CMS,College Management System
CMS,College of Martial Science
CMSA,Colleges of Medicine of South Africa
CMSC,Chittagong Model School and College
CMSV,College of Mount Saint Vincent
CMSV,College of Mount St Vincent
CMT,College of Management and Technology
CMTO,College of Massage Therapists of Ontario
CMWA,College Of Management Writing Assessment
CMWT,College of Medicine West Tower
CNAH,College of Nursing and Allied Health
CNAS,College of Natural and Applied Sciences
CNAS,College of Natural Agricultural Sciences
CNB,College of Nursing Building
CNBS,College of Natural and Behavioral Sciences
CNBS,College of Natural Behavioral Sciences
CNC,College of New Caledonia
CNCC,Colorado Northwestern Community College
CNCO,Choir of New College Oxford
CNCP,California Northstate College of Pharmacy
CNCS,College of Natural and Computational Sciences
CNDL,College Notre Dame de Louaize
CNDM,College of Notre Dame of Maryland
CNDT,Collège Notre Dame de Tournai
CNFS,College of Nutrition and Food Science
CNHH,College of Natural Health Homeopathy
CNHH,College of Natural Health and Homeopathy
CNHP,College of Nursing and Health Professions
CNHS,College of Nursing and Health Sciences
CNHS,College of Natural and Health Sciences
CNJ,College of New Jersey
CNM,Central New Mexico Community College
CNM,College of Naturopathic Medicine
CNMCC,Central New Mexico Community College
CNMS,College of Natural and Mathematical Sciences
CNN,College of Natural Nutrition
CNR,College of Natural Resources
CNR,College of New Rochelle
CNS,College of Natural Sciences
CNSC,Camarines Norte State College
CNSE,Colleges of Nanoscale Science and Engineering
CNSM,College of Natural Sciences and Mathematics
CNSM,College of Natural Science and Mathematics
CNWL,College of North West London
CoA,College of Architecture
COA,College of The Albemarle
COA,College of the Atlantic
COA,College Of Agriculture
COAC,College of the Arts and Communication
COACT,College Of Art Commerce and Technology
COAH,College of Arts and Humanities
COAL,College Of Agriculture and Life
COAS,College of Oceanic and Atmospheric Sciences at Oregon State University
COAS,College of Arts and Sciences
COAS,College of Oceanic and Atmospheric Sciences
COAS,College of Arts and Science
COAS,College of Oceanic Atmospheric Sciences
COB,College Of the Bahamas
COB,College Of Business
COBA,College of Business Administration
COBAL,College of Business and Leadership
COBB,College Of Business Business
COBC,College of Opticians of British Columbia
COBE,College of Business and Economics
COBIT,College of Business and Information Technology
COBT,College Of Business and Technology
COC,College Of Computing
COC,College Of the Canyons
COC,Commission on Colleges
COCA,Commission on Osteopathic College Accreditation
COCB,Christian Outreach College Brisbane
COCC,Central Oregon Community College
COCP,Council of Ohio Colleges of Pharmacy
COD,College Of Dupage
COD,College of the Desert
CODAA,College of DuPage Adjunct Faculty Association
CODAA,College of Dentistry Alumni Association
CODAA,College of DuPage Adjuncts Association
CODAFA,College of DuPage Adjunct Faculty Association
CODL,College of Open and Distance Learning
CODP,College of Operating Department Practitioners
CODT,College of Design and Technology
CODT,College of
COE,College Of Education
COE,College Of Engineering
COEA,College Of Education Akwanga
COECE,College of Electrical and Communication Engineering
COEP,College Of Engineering Pune
COEP,College Of Engineering Placement
COEP,"College Of Engineering, Pune"
COER,College Of Engineering Roorkee
COER,College of
COES,College Of Engineering and Science
COESA,College of Education Student Association
COESA,College of Education Student Assembly
COF,College Opportunity Fund
COF,Colleges of the Fenway
COFA,College of Fine Arts
COFAP,College of Fine Arts and Production
COFC,College OF Charleston
COFC,College of
COFC,College of Charleston's
COFC,College
COFE,College Of Further Education
COH,College of Humanities
COHM,College of Human Medicine
COHS,College of Health Sciences
COHS,College of Human Sciences
COL,College Of Letters
CoL,College of Law of England and Wales
COL,College Of Law
COLC,City of Liverpool College
COLC,College Of Lake County
COLT,College Of Languages and Translation
COM,College of Osteopathic Medicine
COM,College of the Mainland
COMAD,College Of Media Arts Design
COMP,College of Osteopathic Medicine of the Pacific
COMPO,College of Osteopathic Manual Practitioners of Ontario
COMSIT,College Of Management Sciences and Information Technology
COMU,College Of Medicine Undergraduate
CONA,College of the North Atlantic
CONAS,College of Natural and Applied Sciences
CONDOM,College of Notre Dame of Maryland
CONII,College Ontario Network for Industry Innovation
CONK,College of NARFE Knowledge
CONO,College of Naturopaths of Ontario
CONTACT,College Opportunity Networks And Technology Access For Childcare Teachers
CONTACT,College Opportunity Networks And Technical Access For Childcare Teachers
COOL,College Opportunities On Line
COOL,College Offers Opportunities for Life
COPE,College Opportunity to Prepare for Employment
COPOM,College of Podiatrists of Manitoba
COPP,College of Professional Psychology
COPPS,College Online Policy and Procedure System
COPQ,Collège des Orthothérapeutes Professionnels du Québec
CORE,College Opportunity Resources For Education
COS,College Of Sciences
COS,College of the Sequoias
COS,College of the Siskiyous
COS,College Of Science
COSAC,College of Science Advising Center
COSAM,College Of Sciences And Mathematics
COSAM,College Of Science And Mathematics
COSAS,College of Sciences Academic Services
COSAS,College of Sciences Advising Services
COSC,Charter Oak State College
COSCC,College of Sciences Curriculum Committee
COSCC,College of Science Curriculum Committee
COSE,College Of Science and Engineering
COSL,College of Operational and Strategic Leadership
COSL,College of Ophthalmologists of Sri Lanka
COSM,College Of Science and Mathematics
COSP,College Of Sport Psychologists
COSRT,College of Sexual and Relationship Therapists
COSRT,College of Sexual and Relationship Therapy
COSRT,College of Sexual Relationship Therapists
COSS,College Of Social Sciences
COSTAATT,"College of Science, Technology and Applied Arts of Trinidad and Tobago"
COSTAATT,College of Science Technology and Applied Arts of Trinidad and Tobago
COT,College of Office Technology
COT,College of Technology
COT,College Open Textbooks
COT,College of Occupational Therapy
COTA,College Of The Arts
COTC,Central Ohio Technical College
COTHC,College of the Holy Cross
COTHM,College of Tourism and Hospitality Management
COTNS,College of Occupational Therapists of Nova Scotia
COTO,College of the Ouachitas
COTR,College of the Rockies
COTS,College Officer Training School
COTS,College Of The Sciences
COVD,College of Optometrists in Vision Department
COVD,College of Optometrists in Vision Development
COWA,College of West Anglia
COWC,Colleges of Worcester Consortium
COWC,City of Wolverhampton College
CP,College Program
CPAA,College of Public Affairs and Administration
CPACS,College of Public Affairs and Community Service
CPAI,College Preeminence Admissions Index
CPAK,College Personnel Association of Kentucky
CPAM,College Park Aviation Museum
CPAS,College of Physicians And Surgeons
CPAS,College Program for Academic Success
CPB,College of Pharmacy Building
CPB,College Programming Board
CPC,College Preparatory Center
CPC,College Preparatory Program
CPCA,Council of Private Colleges of America
CPCC,Central Piedmont Community College
CPCE,Cyril Potter College Of Education
CPCP,Center for Pre College Programs
CPCRI,College Planning Center of Rhode Island
CPCS,College of Public and Community Service
CPCS,College of Professional and Continuing Studies
CPDS,College Prescription Drug Study
CPDS,College Preparatory Developmental Studies
CPEP,College Preparatory Exam Program
CPES,College Park Executive Suites
CPET,Collège Pierre Elliott Trudeau
CPH,College of Public Health
CPH,College of Public
CPHS,College of Pharmacy and Health Sciences
CPHS,College Park High School
CPI,College Preparatory Invitational
CPIA,College of Public and International Affairs
CPIE,College of Professional International Education
CPIL,College of Public Interest Law
CPKK,College Park Kiddie Kampus
CPLS,College of Professional and Liberal Studies
CPM,Colleges Prayer Meeting
CPMC,Cora P. Maloney College
CPMC,Cora P Maloney College
CPMS,College of Physical and Mathematical Sciences
CPMS,College Preparatory Middle School
CPNP,College of Psychiatric and Neurologic Pharmacists
CPNS,College of Paramedics of Nova Scotia
CPO,College Programming Office
CPOB,"College Park Office Building, Bowling Green State University"
CPOY,College Photographer Of the Year
CPP,College of Physicians of Philadelphia
CPPS,College Place Public Schools
CPS,College of Professional Studies
CPSA,College of Physicians and Surgeons of Alberta
CPSC,Colombo Plan Staff College
CPSO,College of Physicians and Surgeons of Ontario
CPSO,College of Physicians
CPSP,College of Physicians and Surgeons Pakistan
CPSS,College of Physicians and Surgeons of Saskatchewan
CPT,The College Placement Test
CPT,College Placement Test
CPTC,Clover Park Technical College
CPVA,College Of Performing And Visual Arts
CPWC,Chittagong Port Women College
CPY,College Park Yoga
CRBC,Cambria Rowe Business College
CRC,Cosumnes River College
CRC,Crowley's Ridge College
CRC,College Rugby Championship
CRCCS,Catholic Regional College Caroline Springs
CRCF,College Republican Confederation Of Florida
CRCP,Chicagoland Regional College Program
CRD,College Research Division
CREF,College Retirement Equities Fund
CRFH,College Roomies From Hell
CRIC,Cambridge Ruskin International College
CRIJ,Criminal Justice
CRL,College and Research Libraries
CRLA,College Reading and Learning Association
CRLP,College Readiness and Leadership Program
CRNE,College Ready New England
CROP,College Reach Out Program
CRP,College Restoration Program
CRPO,College of Registered Psychotherapists of Ontario
CRPO,College Recruitment Process Outsourcing
CRTQ,Collège Radio-Télévision de Québec
CRW,College Radio Workshop
CRW,College Radio Workshop………
CSAL,College Student Affairs Leadership
CSAM,College of Science and Mathematics
CSAP,College Scholarship Assistance Program
CSAT,College Scholastic Ability Test
CSB,College of Saint Benedict
CSBS,College of Social and Behavioral Sciences
CSBS,College of Social Behavioral Science
CSBSJU,College of Saint Benedict and Saint
CSC,Chadron State College
CSCC,"Cleveland State Community College, Cleveland, Tennessee"
CSCC,Columbus State Community College
CSCC,Council for the Study of Community Colleges
CSCC,Cleveland State Community College
CSCF,Center for the Study of the College Fraternity
CSCM,Civil Service College Mauritius
CSCU,Connecticut State Colleges and Universities
CSCU,Connecticut State Colleges Universities
CSDC,College Student Development and Counseling
CSDEM,College Station Division of Emergency Management
CSE,College Success Experience
CSE,College of Saint Elizabeth
CSE,College of Science and Engineering
CSEC,Colorado Springs Early Colleges
CSEM,College of Science Engineering and Mathematics
CSET,College of Science Engineering and Technology
CSF,College Success Foundation
CSFC,Cardiff Sixth Form College
CSFC,Cadbury Sixth Form College
CSFC,Colchester Sixth Form College
CSFC,Coulsdon Sixth Form College
CSFD,College Station Fire Department
CSH,College of Science and Health
CSHS,College Station High School
CSI,College Scene Investigation
CSI,College of Staten Island
CSI,College of Southern Idaho
CSI,College of Stupid Idiots
CSIH,College of Science and Integrative Health
CSISD,College Station Independent School District
CSJ,College of St Joseph
CSJ,College of Saint Joseph
CSLB,College Student Leadership Board
CSLHS,College of Speech Language Hearing Sciences
CSLL,College Station Little League
CSM,College of Science and Mathematics
CSM,College of San Mateo
CSM,College of Saint Mary
CSM,College of Southern Maryland
CSMC,Central Saint Martins College
CSMD,College of Southern Maryland
CSMD,College of Southern
CSMET,College of Science Mathematics Engineering Technology
CSMT,"College of Science, Mathematics and Technology"
CSN,College of Southern Nevada
CSNC,College St Norbert Collegiate
CSNS,College Street Normal School
CSOM,Carroll School Of Management (Boston College)
CSP,College Student Personnel
CSP,College Success Program
CSPA,College Student Personnel Administration
CSPA,College Student Personnel Association
CSPA,College Soccer Prep Academy
CSPN,College Savings Plans Network
CSPN,College Savings Plan Network
CSPU,College St Pierre a Uccle
CSRI,College Sport Research Institute
CSRI,College Sports Research Institute
CSS,College of Social Sciences
CSS,College of St Scholastica
CSS,College Scholarship Service
CSSA,College Student Services Administration
CSSC,College of Social Sciences and Communication
CSSC,College Station Soccer Club
CSSC,College of Sciences Student Council
CSSC,College of Social Sciences Communication
CSSH,College of Social Sciences and Humanities
CSSL,College of Surgeons of Sri Lanka
CSSP,College of Social Sciences and Philosophy
CSSQ,College Student Satisfaction Questionnaire
CST,College of Science and Technology
CSTC,College Soccer Training Center
CSTCC,Chattanooga State Technical Community College
CSTCC,Cincinnati State Technical and Community College
CSTM,College of Saint Thomas More
CSU,College School Unit
CSUC,Christian Service University College
CSVS,College Sports Video Summit
CSW,College of Social Work
CSW,College of
CTAN,College Transition Action Network
CTAS,College of Technology and Applied Sciences
CTBH,College Track Boyle Heights
CTC,Catholic Theological College
CTC,Community and Technical Colleges
CTC,City Technology College
CTC,Central Texas College
CTC,Community and Technical College
CTC,Charlotte Technical College
CTCC,Central Texas Commercial College
CTCL,Colleges That Change Lives
CTE,College for Technical Education
CTE,College for Technical Education's
CTE,College of Telecom and Electronics
CTE,College of Telecommunications Engineering
CTEP,College Test for English Placement
CTM,College Transition Math
CTPE,College of Textile and Polymer Engineering
CTR,College Talent Recruitment
CTR,College Terrace Resident
CTRA,College Terrace Residents' Association
CTRD,College Talent Recruitment Day
CTTO,Central Technology Transfer Office (University College Dublin)
CTZ,College Toezicht Zorgverzekeringen
CUAV,College and University Auditors of Virginia
CUC,Coventry University College
CUC,Chinese University in Cairo
CUCAS,Chinese University and College Admission System
CUCEK,Cochin University College of Engineering Kuttanad
CUCI,Council of Unions in Colleges and Institutes
CUCP,Colleges and Universities Compliance Project
CUCPG,Colleges and Universities Cooperative Purchasing Group
CUCPG,Colleges and Universities Cooperative Procurement Group
CUFA,College and University Faculty Association
CUFA,College and University Faculty Assembly
CUFA,College University Faculty Assembly
CUFS,College and University Financial System
CUPA,College of Urban and Public Affairs
CUPA,College and University Professors Association
CUPD,College and University Phone Directory
CUPID,Colleges and Universities Partnering for International Development
CUPPA,College of Urban Planning and Public Affairs
CURC,College and University Recycling Coalition
CURP,College University Retirement Plan
CUSA,Colleges and Universities Sports Association
CUSAI,Colleges & Universities Sports Association of Ireland
CUSP,College University School Partnership
CUSP,College Unlimited SUNY Potsdam
CUSS,College Undergraduate Stress Scale
CVA,College of Visual Arts
CVAD,College of Visual Arts and Design
CVB,College Van Bestuur
CVC,Cedar Valley College
CVCC,Catawba Valley Community College
CVCC,Central Virginia Community College
CVCC,Chattahoochee Valley Community College
CVCI,Chula Vista College Institute
CVCP,Central Valley College Prep
CVFC,College Volunteers Facilitators Corps
CVM,College of Veterinary Medicine
CVMS,College View Middle School
CVO,College of
CVPA,College of Visual and
CVPA,College of Visual and Performing
CVPC,Central Visayas Polytechnic College
CVTA,College van Toezicht Auteursrechten
CVTA,College Voucher for Technology Adoption
CVTC,Chippewa Valley Technical College
CVZ,College van Zorgverzekeringen
CVZ,College voor Zorgverzekeringen
CW,College of Westchester
CW,College for Women
CWBC,Council for Women of Boston College
CWC,City of Westminster College
CWC,Central Wyoming College
CWE,College Writing Exam
CWE,College Wood Elementary
CWEP,College Work Experience Program
CWGC,Cheng Wing Gee College
CWI,College of Western Idaho
CWP,College Writing Program
CWPC,College and Workforce Preparation Center
CWRA,College and Work Readiness Assessment
CWRA,College Work Readiness Assessment
CWS,College Work Study
CWSP,College Work Study Program
CWTC,College Wide Technology Committee
CYA,College Year in Athens
CYAM,College Young Adult Ministry
CYTC,Cheng Yu Tung College
DACB,Defence Authority College of Business
DACC,Doña Ana Community College
DACC,Danville Area Community College
DACLAM,Diplomate American College of Laboratory Animal Medicine
DACLAM,Diplomate of the American College of Laboratory Animal Medicine
DACN,"Dr. Ambedkar College, Nagpur"
DACN,Dr Ambedkar College Nagpur
DACT,Diplomate of American College of Theriogenologists
DADC,Denver Automotive Diesel College
DADC,Denver Automotive and Diesel College
DAPCEP,Detroit Area Pre College Engineer Program
DBC,Dayspring Bible College
DBCE,Desh Bhagat College of Education
DBEC,Desh Bhagat Engineering College
DBJC,Dhanraj Baid Jain College
DBTC,Don Bosco Technical College
DBUC,Dandii Boruu University College
DC,Delta College
DCAC,Delhi College Of Arts and Commerce
DCAC,Destination College Advising Corps
DCAD,Delaware College of Art and Design
DCAS,Dublin College of Advanced Studies
DCB,Dakota College at Bottineau
DCB,Dawson College Bound
DCB,Dulwich College Beijing
DCBA,Douglas College Business Association
DCBC,Durham Community Business College
DCBC,Darwin College Boat Club
DCBC,Downing College Boat Club
DCBM,Daly College of Business Management
DCC,Dawlish Community College
DCC,Delgado Community College
DCC,Dutchess Community College
DCC,Danville Community College
DCC,Dallas Christian College
DCC,Dawson Community College
DCCC,Dallas County Community College
DCCC,Davidson County Community College
DCCC,Delaware County Community College
DCCC,Dodge City Community College
DCCCD,Dallas County Community College District
DCE,Dhakkan College of Engineering
DCE,Delhi College of Engineering
DCE,Delhi College of Entertainment
DCE,Darbhanga College of Engineering
DCEME,Defence College of Electro Mechanical Engineering
DCFC,Dartmouth College Fencing Club
DCFMA,Dodge College of Film and Media Arts
DCIF,Doctoral College Initiative Fund
DCIP,Delaware College Investment Plan
DCIS,Dartmouth College Information System
DCL,Detroit College of Law
DCL,Dutch College League
DCMB,Dartmouth College Marching Band
DCMS,Deccan College of Medical Sciences
DCOM,DeBusk College of Osteopathic Medicine
DCOP,Delhi College Of Photography
DCOT,Darlington College Of Technology
DCP,Delta College Programming
DCP,Disney College Program
DCPPA,Defence College of Police and Personnel Administration
DCPS,Diploma of College of Physicians and Surgeons
DCQ,Delta College Quality (Broadcasting)
DCS,Diploma of College Studies
DCTC,Dakota County Technical College
DCTS,Dartmouth College Time Sharing
DCTS,Dartmouth College Timesharing System
DCTT,Defence College of Technical Training
DCTT,Defense College of Technical Training
DDBC,Dharma Drum Buddhist College
DDCH,Dhaka Dental College and Hospital
DDCH,Dhaka Dental College Hospital
DDCM,Dayanand Dinanath College of Management
DDGDVC,Dwaraka Doss Goverdhan Doss Vaishnav College
DECO,Danbury Early College Opportunity
DESC,Dubai English Speaking College
DFC,Dougherty Family College
DFEI,Daniels Fund Ethics Initiative
DHVC,Dehong Vocational College
DIMC,Dow International Medical College
DJCAD,Duncan of Jordanstone College of Art and Design
DJIC,Digamber Jain Inter College
DKMC,Dull Knife Memorial College
DLCE,Dwight Look College of Engineering
DMAC,Digital Media Arts College
DMACC,Des Moines Area Community College
DMC,Dubai Men's College
DMC,Del Mar College
DMCE,Datta Meghe College of Engineering
DMCE,Dayawanti Memorial College Of Education
DMCG,Dubai Medical College for Girls
DMCH,Darbhanga Medical College and Hospital
DMCH,Dhaka Medical College and Hospital
DMLC,Dr Martin Luther College
DMSC,Dimboola Memorial Secondary College
DMTC,Delta-Montrose Technical College
DMTC,Delta Montrose Technical College
DNSC,Davao del Norte State College
DOA,Draft of Assignment
DOBC,Dance Organization of Boston College
DOCC,Depression On College Campuses
DPCOE,Dhole Patil College of Engineering
DPSC,Devendra pratap Singh College
DRACOG,Diploma Royal Australian College of Obstetricians and Gynaecologists
DRACOG,Diploma of Royal Australian College of Obstetricians and Gynaecologists
DRCE,Dr Rizvi College of Engineering
DRMC,Dhaka Residential Model College
DSC,Daytona State College
DSC,Dixie State College
DSC,Dianella Secondary College (Western Australia)
DSC,Dalton State College
DSCB,Dutch Swing College Band
DSCC,Disabled Students of Cerritos College
DSCC,Dyersburg State Community College
DSCE,Dayananda Sagar College of Engineering
DSCE,Dayanand Sagar College of Engineering
DSCL,Dayanand Science College Latur
DSCP,Downtown State College Pennsylvania
DSCSC,Defence Services Command and Staff College
DSCSC,Defense Services Command and Staff College
DSCU,Dixie State College of Utah
DSCW,Dev Samaj College For Women
DSEC,Dyal Singh Evening College
DSFC,Defence Sixth Form College
DSFC,Dereham Sixth Form College
DSMC,Defense Systems Management College
DSMC,Daniel Stewart's and Melville College
DSSC,Defence Services Staff College
DSSC,Defense Services Staff College
DSTC,Dartford Science & Technology College
DSTC,Duluth State Teachers College
DTCB,Dancing Through College Beyond
DTCB,Dancing Through College and Beyond
DTCC,Delaware Technical & Community College
DTCC,Durham Technical Community College
DTCC,Delaware Technical Community College
DUCU,Dundee University and College Union
DVCE,Doon Valley College of Engineering
DVTC,Danang Vocational Tourism College
DVTC,Danang Vocational Training College
DWC,Daniel Webster College
DWCB,Divine Word College of Bangued
DWCC,Divine Word College of Calapan
DYC,D'Youville College
DYC,D Youville College
EAC,Eastern Arizona College
EACC,East Arkansas Community College
EACE,Eastern Association of Colleges and Employers
EARC,Eastern Association of Rowing Colleges
EAWRC,Eastern Association of Women's Rowing Colleges
EBCS,Ebenezer Bible College and Seminary
EC,Excelsior College
ECA,Early College Alliance
ECA,Early College Academy
ECA,Edinburgh College of Art
ECAC,Early College Allegan County
ECAC,Eastern College Athletic Competition
ECAC,Eastern College Athletic Conference
ECAMS,European College of Aesthetic Medicine Surgery
ECAP,Early College Access Program
ECAT,Engineering College Aptitude Test
ECBC,Exeter College Boat Club
ECBM,European College of Business and Management
ECBM,European College of BaroMedicine
ECC,Erie Community College
ECC,Elgin Community College
ECC,El Camino College
ECC,Ellsworth Community College
ECC,East Central College
ECC,Essex County College
ECC,Edgecombe Community College
ECCA,Early College and Career Academy
ECCC,East Central Community College
ECCD,Eastern College Career Day
ECCO,Early College Credit Opportunities
ECCP,Early College Credit Program
ECCP,Emory College Chemistry Preparation
ECDT,Emmanuel College Dance Team
ECE,Early College Experience
ECEP,Early College Experience Program
ECGA,Emmanuel College Godfather Association
ECHS,Early College
ECHS,Early College High School
ECIM,Epsom College In Malaysia
ECK,Engineering College Kota
ECLA,Early College Leadership Academy
ECLA,European College of Liberal Arts
ECLA,Emerson College Los Angeles
ECLC,Emory College Language Center
ECLS,European College for Liberal Studies
ECMA,Engineering College Magazines Associated
ECMIT,Emirates College for Management & Information Technology
ECNO,Early College in New Orleans
ECNO,Early College New Orleans
ECNP,European College of Neuropsychopharmacology
ECP,Electoral College of Pakistan
ECP,Early Childhood Program
ECP,Early College Program
ECPB,Emmanuel College Programming Board
ECPD,Emerson College Police Department
ECPF,Elizabethtown College Peace Fellowship
ECPI,Electronic College Of Process Innovation
ECPS,Emerson College Polling Society
ECPT,Eminent College of Pharmaceutical Technology
ECSA,Edinburgh College Student Association
ECSA,Edinburgh College Students Association
ECSA,Edinburgh College Students' Association
ECSC,Eastern Colleges Science Conference
ECSS,Early College STEM Schools
ECSS,European College of Sport Science
ECSU,Emmanuel College Students' Union
ECTC,Elizabethtown Community and Technical College
ECTC,Emerald Coast Technical College
ECTS,European College for Tourism Studies
ECVA,European College of Veterinary Anaesthesiologists
ECVAA,European College of Veterinary Anaesthesia and Analgesia
ECVPH,European College for Veterinary Public Health
ECVPT,European College of Veterinary Pharmacology Toxicology
ECVPT,European College for Veterinary Pharmacology and Toxicology
EDCC,Edmonds Community College
EDCC,Edmonds Community College's
EDHEC,Ecole des Hautes Etudes Commerciales du Nord
EECHS,East Early College High School
EEMC,Everest Engineering Management College
